,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Lipid,Correct_RT,Biology,Genotype,Cage,Mouse
654759,447.4,183.0,7.536766666666667,64416.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.54,cereb,WT,,m2
211886,447.4,183.0,7.536783333333334,64195.0,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.54,cereb,WT,,m1
759417,469.4,183.0,5.895066666666667,61666.0,11162023_WT-m2-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,cortex,WT,,m2
660896,469.4,183.0,5.895066666666667,57149.0,11162023_WT-m2-cereb-FAD246_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,cereb,WT,,m2
337678,469.4,183.0,5.895066666666667,53262.0,11162023_WT-m1-cortex-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,cortex,WT,,m1
2174339,471.4,183.0,7.54865,52628.0,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.55,cereb,WT,FAD263,m5
2677698,469.4,183.0,5.895083333333334,52233.0,11162023_WT-m5-hippo-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,hippo,WT,,m5
2172642,469.4,183.0,5.882133333333334,50821.0,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cereb,WT,FAD263,m5
2561629,469.4,183.0,5.89505,45920.0,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,dienc,WT,FAD263,m5
1117107,495.4,183.0,7.521566666666667,43961.0,11162023_WT-m3-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.52,cereb,WT,FAD263,m3
3905856,469.4,183.0,5.882133333333334,40497.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cereb,5xFAD,FAD231,m2
