lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
TAG(58:3)_FA 16:1,0.031060454639089866,5.29394121232903,0.0035563852715085886,0.9524459944371585,0.9997100298088456,TAG,20495.141311645508,23754.28155517578,24103.8818359375,24767.8217086792,21101.60171508789,23635.581756591797,26128.5818939209,21351.2816696167,19010.721389770508,18222.901443481445
TAG(58:3)_FA 18:0,-0.17539815637764114,5.581613192200912,0.11394675068981996,0.735694793108537,0.9997100298088456,TAG,24451.82164001465,28302.062202453613,24255.441482543945,33475.042541503906,22264.041870117188,31932.402153015137,33866.50244140625,30324.08242034912,24578.221633911133,19471.501426696777
TAG(58:3)_FA 18:1,-0.3243158505495521,6.155290493034752,0.39050104585712475,0.5320361483369165,0.9997100298088456,TAG,26517.401962280273,29104.762130737305,31877.22235107422,43515.803146362305,46285.26361846924,48493.32325744629,52537.12367248535,49261.50346374512,27983.662078857426,50040.80330657959
TAG(58:3)_FA 18:2,0.058945829287909576,5.961401903124831,0.012799447381894424,0.9099238103823336,0.9997100298088456,TAG,25380.54179382324,28705.4620513916,45616.34356689453,48310.643463134766,40699.82273101807,34313.82231140137,42830.80308532715,42798.20295715332,25898.141876220703,22438.6014251709
TAG(58:3)_FA 20:0,0.1655066092030335,5.324318505475976,0.10057802194487664,0.7511370847070058,0.9997100298088456,TAG,17850.381149291992,25494.18199539185,27951.12208557129,27330.162048339844,24473.021675109863,21740.381591796875,24587.861251831055,22797.121585845947,18874.381355285645,17507.061416625977
TAG(58:3)_FA 20:4,0.024960599414350127,6.007500245497944,0.0022971927320440955,0.9617727965981389,0.9997100298088456,TAG,28385.9422454834,32473.682746887207,37888.42300415039,45374.84280395508,38927.24294662475,36731.02226257324,39542.92289733887,39282.06246185303,29145.182136535645,38252.98287963867
TAG(58:4)_FA 16:0,-0.19931201634818005,5.072510106152846,0.1471925661653799,0.7012328102050358,0.9997100298088456,TAG,15780.84129333496,19507.12144470215,18458.88117980957,20504.62143707275,16362.521102905272,23708.88163757324,21664.20150756836,18379.881423950195,19777.04132080078,16841.121200561523
TAG(58:4)_FA 16:1,0.004903529593566242,5.6416777070984665,8.86994312168099e-5,0.9924856043362973,0.9997100298088456,TAG,35205.68305969238,24115.641883850098,27047.12158203125,24347.581756591797,23764.761909484863,31269.90203857422,31189.88201904297,23785.581909179688,24256.9620513916,33434.72286987305
TAG(58:4)_FA 18:0,0.02281567911469224,5.686695808876195,0.0019194279107068724,0.9650548387133658,0.9997100298088456,TAG,22782.34181213379,42442.98310852051,25559.18173980713,37998.86297988891,26109.02173614502,26557.30184936523,31423.162078857426,36307.262535095215,27210.422164916992,19979.761276245117
TAG(58:4)_FA 18:1,0.13685595080640053,5.6222898570999105,0.06883408236501509,0.7930419795387966,0.9997100298088456,TAG,26594.94174194336,28772.9423828125,29930.94218444824,32288.882568359375,31708.62242126465,30578.862091064453,31222.522521972656,27578.94190979004,20400.00146484375,21081.261459350582
