lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(51:9)|TG(50:2)]_FA22:5,0.23655584749673786,5.521213939941147,0.2825391323879103,0.5950417885084226,0.9999514498362397,TAG,103652.52752685548,133630.36868286133,129447.6690979004,83474.50592041016,58870.12420654297,52129.36393737793
[TG(52:10)|TG(51:3)]_FA14:0,8.001402720159455e-4,6.051543703315302,3.200853825546801e-6,0.9985725110649648,0.9999514498362397,TAG,174218.0750732422,155150.75164794922,142163.87091064453,162162.85256958008,147118.34985351562,44885.722412109375
[TG(52:10)|TG(51:3)]_FA16:0,0.03979332226972603,5.56028330806318,0.007931114034363418,0.9290367677054506,0.9999514498362397,TAG,104533.28805541992,136874.90881347656,89084.14642333984,82394.22549438477,153644.4716796875,31416.36242675781
[TG(52:10)|TG(51:3)]_FA16:1,-0.09689138589094987,6.308416644119551,0.04671882557158824,0.8288744270359785,0.9999514498362397,TAG,134112.72857666016,263877.15625,90064.96621704102,88871.12603759766,420322.3279418945,37751.36267089844
[TG(52:10)|TG(51:3)]_FA18:0,-0.04617096162196082,5.043911151092472,0.01063422066113165,0.9178658607263381,0.9999514498362397,TAG,77701.86560058594,76635.8251953125,65648.1047668457,67639.1646118164,86799.90673828125,32206.04211425781
[TG(52:10)|TG(51:3)]_FA18:1,-0.30717234456727527,6.30646473670891,0.4642933055074536,0.49562429688018717,0.9999514498362397,TAG,123669.14837646484,237462.5952758789,98659.00714111328,84936.0454711914,447143.0544433594,39346.22268676758
[TG(52:10)|TG(51:3)]_FA18:2,-0.5206032953837361,8.30728894884638,1.3164629206657992,0.25122783373687846,0.9999514498362397,TAG,470918.6940917969,849288.92919921875,327946.6030273437,300081.34326171875,2069888.2229003904,134665.1290283203
[TG(52:10)|TG(51:3)]_FA18:3,0.07950084038230729,8.80392822823783,0.03171348961768672,0.8586579365849176,0.9999514498362397,TAG,1349105.8432617188,1006399.828125,590598.6999511719,543659.2385253906,2078525.4184570312,197218.77465820312
[TG(52:10)|TG(51:3)]_FA20:4,0.06437177947133411,5.455166933614878,0.020776529912332364,0.8853893977842743,0.9999514498362397,TAG,101004.8671875,114584.18899536131,79163.40557861328,81670.62567138672,124169.02810668944,43164.502990722656
[TG(52:10)|TG(51:3)]_FA22:5,0.00409696836248999,5.627652406182363,8.393381540372502e-5,0.992690250926712,0.9999514498362397,TAG,120825.7687072754,129647.2485961914,137744.97134399414,109848.1280517578,92496.94647216795,28960.98200988769
[TG(52:10)|TG(51:3)]_FA22:6,0.17622843968303906,5.875949667821418,0.15644728885717996,0.692448700522001,0.9999514498362397,TAG,139595.03067016602,178746.9324645996,184866.75314331052,116269.22918701172,78917.5856628418,37637.50239562988
[TG(52:4)]_FA14:0,-0.043876996612429095,5.401948588848724,0.009605076466641549,0.9219279323616114,0.9999514498362397,TAG,96790.0870361328,107283.18756103516,84993.66638183594,106461.52728271484,94874.8471069336,33564.94241333008
