Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
Cer(t18:0/20:0(2OH)),667324.6309204102,364563.8634338379,468640.2548217773,681836.1105499268,651890.887512207,620803.1235656738,444940.0567321777,621021.2648620605
Cer(t18:0/22:0(2OH)),681237.164932251,854438.7332611084,721654.2887649536,886815.7178039551,825314.5011749268,845147.2594146729,867732.143081665,867039.7893066406
Cer(t18:0/24:0(2OH)),292348.955657959,335761.8866882324,310946.16340637207,458853.208114624,441023.8146667481,357125.14936828613,348099.9447174072,418451.4130554199
Cer(t18:0/26:0(2OH)),543403.0151672363,782577.0425720215,784942.0381774902,764881.0336227417,695886.4866027832,752586.3932189941,729496.9492797852,685928.9699707031
Cer(t20:0/26:0(2OH)),3472.640254974365,3509.6202545166016,3504.380241394043,551505.4501037598,478902.4676361084,3468.720241546631,3382.3202362060547,497928.7173156738
CerP(d18:0/16:0),165910.61169433594,153504.0506591797,190737.9141845703,186114.5530700684,149576.4500732422,173035.3125,186046.51293945312,197870.59466552731
CerP(d18:1/12:0),114497.92813110352,289692.12311935425,128133.2698135376,180204.93405151367,139695.7490234375,132405.96952819824,275667.90003967285,114402.40865325928
CerP(d18:1/14:0),50174.30355834961,77168.68590545654,70619.36522293091,58899.18377304077,55923.62368774414,56819.28397369385,71758.46583557129,48855.22270965576
CerP(d18:1/16:0),1734354.9717330933,394428.32166671753,426700.7503814697,127977.84979629517,154259.330619812,915789.8233413696,289944.86196136475,641735.2017593384
CerP(d18:1/18:0),425314.37715148926,828874.2796936035,429235.33068847656,586049.7076873779,525810.9160423279,538512.8828048706,699225.5154685974,526490.552570343
CerP(d18:1/20:0),344956.46003723145,449065.007888794,476758.0706558228,491758.5409164429,461539.83221435547,472444.6291732788,458911.9384841919,428618.8303527832
CerP(d18:1/22:0),61631.84370803833,73455.42486190796,82271.40557098389,81327.52565002441,69422.86536026001,76798.12537765503,81581.76573181152,72143.26515579224
